"Ticker","Name"
"RLBGX","American Funds Bal"
"TRPCX","T Rowe Price Ret:I2030"
"RFITX","American Funds T2050"
"OSCIX","Oppenheimer Intl SMC"
"FERGX","Fidelity SAI EM Index"
"FGLLX","Fidelity Srs Intr Opp"
"FDMLX","Fidelity Srs Intr Opp"
"RLLGX","American Funds SMCP"
"HFEIX","Henderson:Euro Foc"
"FKSCX","Franklin Intl SCG"
"PEFIX","PIMCO:RAE Fdmtl+EMG"
"FISMX","Fidelity Intl Sm Cap"
"GPIIX","Grandeur Itl Opp"
"EMRGX","Emerging Markets Growth"
"ARTKX","Artisan:Intl Val"
"RNPGX","American Funds NPer"
"FMGEX","Frontier MFG Gl Eq"
"APHGX","Artisan:Glbl Val"
"OSMAX","Oppenheimer Intl SMC"
"ANWPX","American Funds NPer"
"TEPLX","Templeton Growth"
"DBJP","Deutsche MSCI Jp Hdg Eq"
"MDISX","Franklin Mut Gl Disc"
"ODMAX","Oppenheimer Dev Mkts"
"NMMEX","Northern Fds:Act M EM Eq"
"OPGIX","Oppenheimer Glbl Opp"
"TEMWX","Templeton World"
"BISMX","Brandes Inv:Itl SC Eq"
"XIV","VelShs DlyInv VIX ST ETN"
"SPXL","Direxion:S&P 500 Bull 3X"
"TRNEX","T Rowe Price New Era"
"BBH","VnEck Vctrs:Biotech ETF"
"TNA","Direxion:Sm Cap Bull 3X"
"SMH","VnEck Vctrs:Semicnd ETF"
"KBWB","PowerShares KBW Bank"
"MBXIX","Catalyst/Millburn HS"
"PSCT","PowerShares S&P SC Info"
"VGHCX","Vanguard Health Care"
"QLEIX","AQR:Lng-Sht Eqty"
"FSPHX","Fidelity Sel Health"
"FSCSX","Fidelity Sel SW & IT Svc"
"PHSZX","Pru Jenn Health Sci"
"FBGX","UBS AG Enh LC Growth ETN"
"PHLAX","Pru Jenn Health Sci"
"SHSAX","BlackRock:HS Opp"
"BREIX","Baron Real Estate"
"CGMRX","CGM Tr:Realty Fund"
"PRHSX","T Rowe Price Hlth Sci"
"PRMTX","T Rowe Price Md/Tele"
"FSCHX","Fidelity Sel Chemicals"
"PJP","PowerShares Dyn Pharm"
"FSRPX","Fidelity Sel Retailing"
"FSMEX","Fidelity Sel Med Equip"
"VOO","Vanguard 500 Index"
"MMIZX","MassMutual Sel:S&P500"
"PRUIX","T Rowe Price Eq Idx500"
"BSPIX","BlackRock:S&P500 Idx"
"FXAIX","Fidelity 500 Idx"
"FXSIX","Fidelity 500 Idx"
"VFFSX","Vanguard 500 Index"
"BSPAX","BlackRock:S&P500 Idx"
"VFINX","Vanguard 500 Index"
"WFIOX","WellsFargo:Index"
"FUSEX","Fidelity 500 Idx"
"SPINX","SEI Inst Inv:S&P500"
"MSPIX","MainStay:S&P 500 Idx"
"VINIX","Vanguard Instl Indx"
"PREIX","T Rowe Price Eq Idx500"
"TISPX","TIAA-CREF:S&P500 Idx"
"HLEIX","JPMorgan:Equity Idx"
"SSEYX","SS Inst Inv:Eq 500 Id II"
"WFSPX","BlackRock:S&P500 Idx"
"SVSPX","SSgA:S&P 500 Index"
"DSPIX","Dreyfus Instl S&P 500"
"NINDX","Columbia:LgCp Index"
"TRSPX","TIAA-CREF:S&P500 Idx"
"PEOPX","Dreyfus S&P 500 Index"
"OGEAX","JPMorgan:Equity Idx"
"GMCDX","GMO:Emer Ctry Dbt"
"HWHIX","Hotchkis:High Yield"
"GMDFX","GMO:Emer Ctry Dbt"
"FMKIX","Fidelity Adv Emerg"
"PTCIX","PIMCO:Lng-Tm Credit"
"FNMIX","Fidelity New Mkts Inc"
"PREMX","T Rowe Price Int:EM Bd"
"AGDAX","AB High Income"
"RITGX","American Funds HI"
"HWHAX","Hotchkis:High Yield"
"MEDIX","MFS Emerg Mkt Debt"
"FAGIX","Fidelity Capital & Inc"
"MEDAX","MFS Emerg Mkt Debt"
"FXICX","PIMCO:FISH Series C"
"NHILX","Neuberger Hi Inc B"
"AGDCX","AB High Income"
"PEBIX","PIMCO:Em Mkts Bd"
"PONPX","PIMCO:Income"
"TGEIX","TCW:Em Mkts Income"
"EIHIX","Eaton Vance HI Opp"
"LSBDX","Loomis Sayles:Bond"
"FIHBX","Federated HY Bond"
"PIMIX","PIMCO:Income"
"LSFIX","Loomis Sayles:Fx In"
"GSDIX","Goldman:Emg Mkts Dbt"
"DVHIX","Delaware Natl HY"
"PGOVX","PIMCO:Lng-Tm Govt"
"MOTMX","BNY Mellon:Mun Opp"
"HYD","VnEck Vctrs:HY Muni Indx"
"MMHIX","MainStay:Hi Yld Muni"
"SHMMX","WA Managed Muni"
"VUSTX","Vanguard Lg-Tm Trs"
"MMHAX","MainStay:Hi Yld Muni"
"ELFTX","Elfun Tax-Ex Income Fund"
"WFCMX","WellsFargo:CreBldr Srs M"
"ORNYX","Oppenheimer Ro HY M"
"USTEX","USAA Tax Ex Lng-Tm"
"FGOVX","Fidelity Inc:Govt Inc"
"MANLX","BlackRock:Nat Muni"
"COLTX","Columbia:Tax-Exempt"
"ABTYX","AB Hi Inc Muni"
"PRFHX","T Rowe Price Tx-Fr HY"
"MISHX","AB Municipal Inc"
"SRHMX","Columbia:Hi Yld Muni"
"CPTNX","Amer Cent:Govt Bond"
"FTFMX","Fidelity NY Muni Inc"
"VWAHX","Vanguard Hi Yld TxEx"
"USATX","USAA Tax Ex Intm-Tm"
"FKTIX","Franklin Fed TF Inc"
"OPNYX","Oppenheimer Ro NY M"
